video_id,url,title,pinned
uGGAJxeXa4U,https://www.youtube.com/watch?v=uGGAJxeXa4U,Palindrome Linked List | LeetCode 234 (Easy),no
4xFHsd0Xpk0,https://www.youtube.com/watch?v=4xFHsd0Xpk0,How to Get a Game Developer Job | Career Roadmap,no
dmYiOfy8a-k,https://www.youtube.com/watch?v=dmYiOfy8a-k,Letter Combinations Phone Number | LeetCode 17,no
PWoIZxcamsQ,https://www.youtube.com/watch?v=PWoIZxcamsQ,Longest Common Prefix | LeetCode 14 (Easy),no
eaBYb0uSfBM,https://www.youtube.com/watch?v=eaBYb0uSfBM,Design Tic-Tac-Toe | LeetCode Design Explained,no
QhdjTMm4_uo,https://www.youtube.com/watch?v=QhdjTMm4_uo,How to Get a Mobile App Developer Job | Roadmap,no
QdMUBiTC2bM,https://www.youtube.com/watch?v=QdMUBiTC2bM,Sorting Algorithms Full Course for Interviews,no
STsxnYbKPvo,https://www.youtube.com/watch?v=STsxnYbKPvo,How to Get a Front-End Developer Job | Roadmap,no
HO-qzdL_x8U,https://www.youtube.com/watch?v=HO-qzdL_x8U,Sort Colors | LeetCode 75 (Dutch National Flag),no
Dh7QxO0xkBE,https://www.youtube.com/watch?v=Dh7QxO0xkBE,How to Get a Software Developer Job | Roadmap,no
BULoAJeuA1c,https://www.youtube.com/watch?v=BULoAJeuA1c,Serverless Computing Explained | Developer Guide,no
7halZ77R55o,https://www.youtube.com/watch?v=7halZ77R55o,Sort List | LeetCode 148 (Medium),no
E3eO7jTFElU,https://www.youtube.com/watch?v=E3eO7jTFElU,Fizz Buzz | LeetCode 412 (Easy),no
q6tyGuVVbfE,https://www.youtube.com/watch?v=q6tyGuVVbfE,Largest Number | LeetCode 179 (Medium),no
zZsmeHaqqyM,https://www.youtube.com/watch?v=zZsmeHaqqyM,25 IT Career Options for 2024 | Tech Jobs Guide,no
05mXJB5SLA8,https://www.youtube.com/watch?v=05mXJB5SLA8,Merge Sorted Array | LeetCode 88 (Easy),no
cRPoqZOlDkg,https://www.youtube.com/watch?v=cRPoqZOlDkg,Insert Delete GetRandom O(1) | LeetCode 380,no
mvHMIG8nN10,https://www.youtube.com/watch?v=mvHMIG8nN10,Destination FAANG Rebrand — Help Choose What’s Next,no
zUXvWE-3ss8,https://www.youtube.com/watch?v=zUXvWE-3ss8,Highest Paying IT Companies For Software Developers,no
VPq5dlxaeP8,https://www.youtube.com/watch?v=VPq5dlxaeP8,LRU Cache | LeetCode 146 (Medium) Explained,no
cb2a5CSmDtc,https://www.youtube.com/watch?v=cb2a5CSmDtc,Remove YouTube Copyright Claims In 3 Steps,no
wy3rfulMNV0,https://www.youtube.com/watch?v=wy3rfulMNV0,Cineplex Solutions Architect Interview Experience,no
Oij8cSn2p2Y,https://www.youtube.com/watch?v=Oij8cSn2p2Y,Cloud Computing Explained For Beginners,no
IBIxScArJks,https://www.youtube.com/watch?v=IBIxScArJks,Horizontal Vs Vertical Scaling — System Design Basics,no
JC_YL6zvchs,https://www.youtube.com/watch?v=JC_YL6zvchs,25 IT Career Options For 2024 — Roles & Roadmaps,no
YF8yjyVKfWo,https://www.youtube.com/watch?v=YF8yjyVKfWo,Highest Paying Entry-Level IT Companies,no
T-Kj7dme-aU,https://www.youtube.com/watch?v=T-Kj7dme-aU,Microservices Explained — System Design Basics,no
BjaEmO3bnZI,https://www.youtube.com/watch?v=BjaEmO3bnZI,P2P Networks Explained With Breaking Bad,no
zxDrZ5dDd7s,https://www.youtube.com/watch?v=zxDrZ5dDd7s,DoorDash Senior Software Developer Interview Experience,no
bxuR2r8jXbM,https://www.youtube.com/watch?v=bxuR2r8jXbM,"Cloud Computing Fundamentals — IaaS, PaaS, SaaS",no
AZkObgLf_Vk,https://www.youtube.com/watch?v=AZkObgLf_Vk,Live Tech Interview Lectures — Help Shape The Plan,no
YlGuCbMIR5I,https://www.youtube.com/watch?v=YlGuCbMIR5I,Behavioral Interview Questions — 50 Asked Examples,no
DvZgUk9WluM,https://www.youtube.com/watch?v=DvZgUk9WluM,Navblue Airbus Software Architect Interview Experience,no
wYco178c92M,https://www.youtube.com/watch?v=wYco178c92M,CAP Theorem Explained — System Design Concepts,no
tn9h9-fSJm4,https://www.youtube.com/watch?v=tn9h9-fSJm4,System Failures Explained — Design Interview Prep,no
pgxfQJjO86c,https://www.youtube.com/watch?v=pgxfQJjO86c,Database Sharding Explained — System Design Basics,no
2nPT2mv93pk,https://www.youtube.com/watch?v=2nPT2mv93pk,SQL Vs NoSQL — Choosing The Right Database,no
S8340Cnauow,https://www.youtube.com/watch?v=S8340Cnauow,Sam Altman Returns As OpenAI CEO — What Happened,no
3sqy9ymtHfQ,https://www.youtube.com/watch?v=3sqy9ymtHfQ,Nokia Software Architect Interview Experience,no
cericsGLBGA,https://www.youtube.com/watch?v=cericsGLBGA,Technical Interview Mistakes — 10 Things To Avoid,no
W0iHwQNKwRc,https://www.youtube.com/watch?v=W0iHwQNKwRc,Caching Explained — System Design Interview Basics,no
miDio50Rwcc,https://www.youtube.com/watch?v=miDio50Rwcc,Load Balancer Explained — System Design Basics,no
OvWOj207mXU,https://www.youtube.com/watch?v=OvWOj207mXU,APIs Explained — How Applications Communicate,no
ri4CLTdHdlo,https://www.youtube.com/watch?v=ri4CLTdHdlo,Mesmerizing Tech Patterns — Relaxing ASMR Visuals,no
MUYzRcGyVns,https://www.youtube.com/watch?v=MUYzRcGyVns,Zig Zag ASMR Tech Patterns — Relaxing Visuals,no
CfZDP6STCfU,https://www.youtube.com/watch?v=CfZDP6STCfU,Satisfying Tech Pattern ASMR — Relaxing Visuals,no
eCnfdhtkjE0,https://www.youtube.com/watch?v=eCnfdhtkjE0,Digital Rangoli With Code — Diwali Python Art,no
6dd7TFmPOpM,https://www.youtube.com/watch?v=6dd7TFmPOpM,Software Design Patterns Explained For Developers,no
FmoXsvxw7Y8,https://www.youtube.com/watch?v=FmoXsvxw7Y8,Star Pattern ASMR — Relaxing Tech Visuals,no
WwjK6GoF5fM,https://www.youtube.com/watch?v=WwjK6GoF5fM,Delightful Pattern ASMR — Satisfying Visuals,no
T8PSaHTEXlA,https://www.youtube.com/watch?v=T8PSaHTEXlA,Hypnotic ASMR Pattern — Relaxing Tech Visuals,no
5hvHTZxyBTY,https://www.youtube.com/watch?v=5hvHTZxyBTY,Speed ASMR Pattern — Faster With Every Hit,no
8xXhwrsAvHs,https://www.youtube.com/watch?v=8xXhwrsAvHs,Crazy ASMR Pattern — Satisfying Tech Visuals,no
d8kSUDmxmng,https://www.youtube.com/watch?v=d8kSUDmxmng,Watch And Chill — Relaxing Tech Pattern ASMR,no
FfeEUfh5zUE,https://www.youtube.com/watch?v=FfeEUfh5zUE,Tech Interview Checklist — 10 Things Before Interview,no
yMt9GyMbYFM,https://www.youtube.com/watch?v=yMt9GyMbYFM,Lucid Dreams ASMR — Relaxing Sleep Visuals,no
aZ5CfwUxaww,https://www.youtube.com/watch?v=aZ5CfwUxaww,Red Pattern ASMR — Relaxing Satisfying Visuals,no
gc3EgCD4At0,https://www.youtube.com/watch?v=gc3EgCD4At0,Mind-Blowing Pattern ASMR — Satisfying Visuals,no
n2MYqAgfcyA,https://www.youtube.com/watch?v=n2MYqAgfcyA,Escalating Pattern ASMR — Satisfying Visual Loop,no
HNCRy__o0kQ,https://www.youtube.com/watch?v=HNCRy__o0kQ,Heap And Trie Data Structures — Interview Prep,no
RW7j9UyzTl4,https://www.youtube.com/watch?v=RW7j9UyzTl4,Relaxing ASMR Pattern — Colorful Tech Visuals,no
